"","ID","GENDER_CODE","CITY","STATE_CODE","ZIPCODE","HAVE_PHONE","EMAIL_ADDRESS","DEGREE1_GRAD_DATE","DEGREE1_CAMPUS","DEGREE1_DEGREE","DEGREE1_SCHOOL","DEGREE1_MAJOR","DEGREE2_GRAD_DATE","DEGREE2_CAMPUS","DEGREE2_DEGREE","DEGREE2_SCHOOL","DEGREE2_MAJOR","NON.UT_DEGREES","SpouseGradUT","SPOUSE_NON_UT_DEGREES","RELATIONS_UT","FRATERNITY.SORORITY","STUDENT.LIFE","X1ST_GIFT_UT","WE","LOGAMOUNT"
"5733",1,"M","Knoxville","TN","37920","Yes","Present",2011,"UTK","Master of Business Administration","Bus Adm - UTK","Business Administration",NA," "," "," "," ","No","","No","Missing","","N",2012,"WE5 - $100,000 < $250,000",2
"7753",3,"M","Memphis","TN","38117","Yes","Present",2006,"UTK","Bachelor of Science","Bus Adm - UTK","Marketing",NA," "," "," "," ","No","","No","Missing","","N",2015,"WE7 - $25,000 < $50,000",2.92085349612126
"8431",4,"M","Raleigh","NC","27603","No","Present",1982,"UTK","Bachelor of Science","Bus Adm - UTK","Real Estate & Urban Development",NA," "," "," "," ","No","","No","Missing","","N",2000,"WE6 - $50,000 < $100,000",0.698970004336019
"35194",5,"M","Atlanta","GA","30328","No","Present",2004,"UTK","Bachelor of Science","Bus Adm - UTK","Finance",NA," "," "," "," ","No","","No","Present","","N",2004,"WEA - $5,000 < $10,000",2.43142809931678
"12489",6,"M","Dayton","OH","45459","Yes","Present",2005,"UTK","Bachelor of Science","Bus Adm - UTK","Accounting",NA," "," "," "," ","No","","No","Missing","","Y",2009,"WE7 - $25,000 < $50,000",1.97772360528885
"42926",7,"F","Davidson","NC","28036","Yes","Present",1979,"UTK","Bachelor of Science","Bus Adm - UTK","Marketing",NA," "," "," "," ","No","","No","Present","","Y",1986,"WE7 - $25,000 < $50,000",2.45484486000851
"38826",8,"M","Knoxville","TN","37934","Yes","Present",1974,"UTK","Master of Science","Engr - UTK","Industrial Engineering",1982,"UTK","Doctor of Philosophy","Bus Adm - UTK","Management Science","No","Yes","No","Present","","Y",1987,"WE4 - $250,000 < $500,000",2.7481880270062
"37529",10,"M","Celina","TN","38551","Yes","Present",1964,"UTK","Bachelor of Science","Bus Adm - UTK","Unknown",NA," "," "," "," ","No","Yes","No","Present","","N",1981,"WE6 - $50,000 < $100,000",4.09289601092186
"13155",11,"M","Soddy Daisy","TN","37379","Yes","Present",1982,"UTK","Bachelor of Science","Bus Adm - UTK","Accounting",NA," "," "," "," ","No","","No","Missing","","N",2008,"WE6 - $50,000 < $100,000",0.778151250383644
"39666",12,"M","Dalton","GA","30722","Yes","Present",2002,"UTK","Bachelor of Science","Bus Adm - UTK","Accounting",2002,"UTK","Bachelor of Science","Bus Adm - UTK","Logistics & Transportation","No","Yes","No","Present","","Y",2006,"WE8 - $15,000 < $25,000",1.8750612633917
"27006",14,"M","Saint Petersburg","FL","33702","Yes","Missing",1962,"UTK"," ","Bus Adm - UTK","Unknown",NA," "," "," "," ","No","","No","Missing","","N",1984,"WE6 - $50,000 < $100,000",1.69897000433602
"669",15,"F","Knoxville","TN","37920","No","Present",1992,"UTK","Bachelor of Science","Bus Adm - UTK","Management",NA," "," "," "," ","No","Yes","Yes","Missing","","N",1993,"WE5 - $100,000 < $250,000",4.65559938778079
"34542",16,"F","Knoxville","TN","37923","No","Missing",1975,"UTK","Bachelor of Science","Bus Adm - UTK","Accounting",NA," "," "," "," ","No","","No","Missing","","N",1987,"WE8 - $15,000 < $25,000",1.65321251377534
"10759",19,"M","Seattle","WA","98134","No","Present",2003,"UTK","Bachelor of Science","Bus Adm - UTK","Accounting",NA," "," "," "," ","No","","No","Missing","","Y",2010,"WEZ - Unable to Rate",2.17609125905568
"39339",20,"M","Spruce Pine","NC","28777","Yes","Present",1985,"UTK","Bachelor of Science","Bus Adm - UTK","Marketing",NA," "," "," "," ","Yes","","No","Present","","Y",1985,"WEZ - Unable to Rate",3.09691001300806
