"ID","Donated"
3,0
7,0.03
10,0.08
11,0.168
18,0.03
20,0.454
21,0
23,0.012
28,0.132
29,0
31,0
36,0
37,0.006
38,0
40,0.002
42,0.338
45,0
51,0.112
54,0.002
59,0.112
66,0.052
72,0
74,0.002
80,0.002
83,0.67
85,0.032
87,0.176
88,0.118
91,0.426
93,0.038
96,0
98,0.716
99,0.01
100,0.358
101,0.116
111,0
114,0.092
116,0.004
122,0.008
123,0.49
128,0.254
129,0.318
133,0
134,0.026
135,0
137,0.04
138,0.71
142,0
147,0
149,0.006
155,0.532
162,0.244
163,0
167,0.048
168,0.006
169,0
175,0.002
179,0.308
180,0
181,0.01
183,0.014
184,0.014
193,0.784
202,0
208,0.216
214,0.018
216,0
219,0
220,0.476
235,0.232
237,0
246,0.002
251,0
253,0.808
254,0
262,0.448
263,0
265,0.012
269,0.012
273,0.152
275,0.31
276,0
279,0
282,0.002
289,0
298,0
304,0
311,0
313,0.698
317,0.002
320,0
325,0.19
327,0.532
329,0
330,0.092
332,0
338,0
339,0.002
340,0
345,0.002
346,0.032
350,0.206
352,0.106
355,0.248
356,0.176
357,0.016
359,0.04
364,0
366,0
372,0
378,0.094
383,0.82
385,0.366
386,0.058
388,0.194
389,0.004
394,0.002
396,0.348
399,0
402,0.362
412,0.212
414,0
419,0
420,0.39
425,0.018
430,0.026
431,0.022
434,0.006
436,0.548
443,0.054
446,0.098
451,0.194
453,0
454,0.052
458,0.18
461,0.01
466,0.006
467,0
469,0.128
471,0.126
473,0
476,0.02
478,0.364
484,0
487,0
488,0
489,0.084
492,0
498,0
499,0.018
503,0.01
505,0
511,0.002
514,0.384
518,0
522,0.32
524,0
528,0
531,0.004
532,0.416
535,0.292
539,0.002
543,0
548,0
549,0
553,0.076
556,0.282
557,0.002
561,0.194
567,0
568,0
571,0.094
572,0.026
574,0.106
580,0.106
585,0.096
590,0.004
591,0.176
595,0
596,0.318
599,0
600,0
604,0.446
605,0.052
606,0.28
608,0
611,0
614,0.002
615,0.51
621,0.004
629,0
632,0.002
638,0
643,0.016
656,0.556
658,0.044
663,0.002
668,0.02
671,0.006
679,0
683,0.004
689,0.004
691,0.114
693,0
696,0
697,0.742
714,0.312
722,0
736,0
740,0
742,0
743,0.002
744,0
746,0
761,0.03
767,0.066
772,0.148
773,0.356
774,0
777,0
779,0.002
781,0.054
788,0.27
794,0.088
796,0.212
798,0.014
806,0.016
810,0
812,0
813,0
818,0.21
819,0.2
824,0
832,0.022
835,0.358
836,0.024
841,0
844,0
845,0.002
846,0.104
847,0.058
849,0.014
850,0.174
854,0.112
857,0
868,0.078
869,0.012
873,0.008
875,0
878,0.128
879,0
880,0.72
882,0.022
886,0
891,0.386
893,0.038
897,0
911,0.17
916,0
920,0
922,0.344
924,0
927,0.032
934,0.296
936,0.316
938,0.012
945,0.406
951,0.052
952,0.67
956,0.776
959,0.026
964,0.476
966,0.112
967,0
978,0.006
979,0
982,0.002
983,0.086
984,0
986,0.058
987,0.45
1001,0.548
1005,0.01
1008,0
1015,0.038
1017,0.002
1019,0.004
1023,0.724
1024,0
1026,0.032
1028,0
1031,0.24
1045,0.01
1047,0
1050,0.058
1053,0
1057,0.004
1058,0
1060,0.022
1067,0.42
1069,0.026
1071,0.626
1075,0.334
1076,0.044
1079,0.43
1083,0.004
1087,0.304
1089,0.154
1101,0.144
1102,0
1104,0
1105,0
1106,0
1111,0
1112,0.078
1113,0.004
1114,0
1117,0.206
1118,0
1124,0.004
1126,0.614
1128,0.744
1133,0.078
1135,0.002
1136,0.002
1137,0.014
1138,0.196
1140,0.826
1141,0.31
1144,0.016
1145,0.174
1146,0.104
1165,0.024
1166,0.148
1167,0.004
1170,0
1174,0.046
1175,0.002
1178,0.026
1181,0.254
1182,0
1186,0.09
1194,0
1197,0.81
1202,0
1207,0.276
1215,0.012
1219,0
1221,0.858
1223,0.414
1225,0.02
1226,0.156
1238,0.016
1239,0.118
1240,0
1243,0.086
1247,0.012
1252,0.006
1255,0.004
1256,0
1260,0.032
1264,0.62
1266,0
1269,0
1275,0.002
1279,0
1284,0
1289,0.736
1291,0
1297,0.024
1302,0.074
1303,0.22
1305,0.002
1306,0
1307,0.004
1309,0.364
1311,0
1315,0.022
1318,0
1322,0.314
1331,0.21
1334,0.44
1336,0.004
1345,0.052
1347,0.744
1348,0.014
1351,0.286
1352,0
1354,0.218
1358,0.006
1360,0.318
1362,0.068
1363,0.538
1365,0.028
1366,0.092
1371,0.1
1376,0
1380,0
1384,0.23
1392,0.452
1399,0.004
1400,0
1407,0.004
1409,0.052
1413,0.086
1414,0.084
1415,0.008
1416,0
1417,0.792
1418,0
1420,0.136
1424,0.23
1430,0.002
1435,0.21
1442,0.416
1446,0.006
1450,0.432
1452,0.004
1459,0.002
1461,0.302
1464,0
1465,0.008
1471,0.01
1482,0.032
1485,0.07
1494,0.002
1502,0
1503,0.008
1505,0.006
1506,0.002
1507,0.006
1515,0.072
1516,0
1517,0.054
1520,0.038
1521,0
1526,0.002
1529,0.104
1530,0
1531,0
1535,0.266
1536,0.11
1538,0.786
1539,0.006
1540,0
1541,0.106
1554,0.23
1555,0.588
1557,0.43
1558,0.14
